product_id,product_name,category,unit_cost,base_price
P-1001,Fitbit Charge 6,Smartwatch,105.00,159.00
P-1002,Apple AirPods Pro (2nd Gen),Headphone,165.00,249.00
P-1003,Dell XPS 13,Laptops,850.00,1149.00
P-1004,Sennheiser Momentum 4,Headphone,250.00,379.00
P-1005,iPhone 15 Pro,Smartphones,780.00,1099.00
P-1006,HP Spectre x360,Laptops,980.00,1349.00
P-1007,Apple Watch Series 9,Smartwatch,260.00,399.00
P-1008,Lenovo Legion 5i,Laptops,900.00,1199.00
P-1009,OnePlus 12,Smartphones,550.00,799.00
P-1010,MacBook Air M3,Laptops,820.00,1099.00
P-1011,ASUS Zenbook 14,Laptops,700.00,949.00
P-1012,Amazon Fire HD 10,Tablets,85.00,149.00
P-1013,iPad Air (5th Gen),Tablets,450.00,599.00
P-1014,Microsoft Surface Pro 9,Tablets,720.00,999.00
P-1015,Sony WH-1000XM5,Headphone,245.00,349.00
P-1016,Garmin Fenix 7 Pro,Smartwatch,520.00,799.00
P-1017,Google Pixel 8 Pro,Smartphones,650.00,999.00
P-1018,Samsung Galaxy Tab S9,Tablets,480.00,699.00
P-1019,iPad Pro M2,Tablets,620.00,799.00
P-1020,Google Pixel Watch 2,Smartwatch,240.00,349.00
P-1021,iPhone SE (2024),Smartphones,280.00,429.00
P-1022,Beats Studio Pro,Headphone,190.00,349.00
P-1023,Bose QuietComfort Ultra,Headphone,290.00,429.00
P-1024,Samsung Galaxy Watch 6,Smartwatch,210.00,299.00
P-1025,Samsung Galaxy S24 Ultra,Smartphones,820.00,1199.00
